ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Player A,Player B,ARank,BRank,APts,BPts,A1,B1,A2,B2,A3,B3,A4,B4,A5,B5,Asets,Bsets,Comment,B365A,B365B,PSA,PSB,Result
1,Brisbane,Brisbane International,2009-01-04,ATP250,Outdoor,Hard,1st Round,3,Gicquel M.,Gasquet R.,50.0,23.0,1428.0,2320.0,6.0,4.0,2.0,6.0,2.0,6.0,,,,,1.0,2.0,Completed,3.75,1.25,3.81,1.27,0.0
1,Brisbane,Brisbane International,2009-01-04,ATP250,Outdoor,Hard,1st Round,3,Darcis S.,Dent T.,59.0,865.0,1362.0,28.0,6.0,7.0,2.0,6.0,,,,,,,0.0,2.0,Completed,1.4,2.75,,,0.0
1,Brisbane,Brisbane International,2009-01-04,ATP250,Outdoor,Hard,1st Round,3,Benneteau J.,Ginepri R.,40.0,49.0,1608.0,1480.0,3.0,6.0,6.0,3.0,7.0,5.0,,,,,2.0,1.0,Completed,2.1,1.66,2.25,1.65,1.0
1,Brisbane,Brisbane International,2009-01-04,ATP250,Outdoor,Hard,1st Round,3,Soderling R.,Querrey S.,17.0,36.0,2650.0,1740.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.49,2.65,1.0
1,Brisbane,Brisbane International,2009-01-05,ATP250,Outdoor,Hard,1st Round,3,Nieminen J.,Baghdatis M.,41.0,96.0,1600.0,950.0,5.0,7.0,6.0,1.0,6.0,4.0,,,,,2.0,1.0,Completed,2.0,1.72,1.95,1.85,1.0
1,Brisbane,Brisbane International,2009-01-05,ATP250,Outdoor,Hard,1st Round,3,Stepanek R.,Kunitsyn I.,26.0,45.0,2260.0,1562.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.36,3.17,1.0
1,Brisbane,Brisbane International,2009-01-05,ATP250,Outdoor,Hard,1st Round,3,Melzer J.,Fish M.,32.0,22.0,1878.0,2330.0,6.0,4.0,4.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,2.2,1.61,2.2,1.65,1.0
1,Brisbane,Brisbane International,2009-01-05,ATP250,Outdoor,Hard,1st Round,3,Verdasco F.,Tomic B.,15.0,764.0,2830.0,42.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.06,8.0,1.06,9.52,1.0
1,Brisbane,Brisbane International,2009-01-06,ATP250,Outdoor,Hard,1st Round,3,Klein B.,Berdych T.,248.0,20.0,304.0,2430.0,0.0,6.0,4.0,6.0,,,,,,,0.0,2.0,Completed,11.0,1.03,10.5,1.05,0.0
1,Brisbane,Brisbane International,2009-01-06,ATP250,Outdoor,Hard,1st Round,3,Ferrero J.C.,Serra F.,52.0,60.0,1410.0,1324.0,3.0,6.0,6.0,7.0,,,,,,,0.0,2.0,Completed,1.4,2.75,1.5,2.55,0.0
1,Brisbane,Brisbane International,2009-01-06,ATP250,Outdoor,Hard,1st Round,3,Delic A.,Ancic M.,131.0,35.0,716.0,1800.0,6.0,7.0,7.0,6.0,6.0,7.0,,,,,1.0,2.0,Completed,3.5,1.28,3.66,1.29,0.0
1,Brisbane,Brisbane International,2009-01-06,ATP250,Outdoor,Hard,1st Round,3,Djokovic N.,Gulbis E.,3.0,53.0,10590.0,1408.0,4.0,6.0,4.0,6.0,,,,,,,0.0,2.0,Completed,1.16,4.5,1.25,3.95,0.0
1,Brisbane,Brisbane International,2009-01-06,ATP250,Outdoor,Hard,1st Round,3,Mathieu P.H.,Gabashvili T.,31.0,65.0,2000.0,1226.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.45,2.7,1.0
1,Brisbane,Brisbane International,2009-01-06,ATP250,Outdoor,Hard,1st Round,3,Reynolds B.,Nishikori K.,68.0,61.0,1144.0,1280.0,3.0,6.0,2.0,6.0,,,,,,,0.0,2.0,Completed,2.1,1.66,2.15,1.7,0.0
1,Brisbane,Brisbane International,2009-01-06,ATP250,Outdoor,Hard,1st Round,3,Sirianni J.,Llodra M.,263.0,54.0,282.0,1400.0,7.0,5.0,6.0,7.0,2.0,6.0,,,,,1.0,2.0,Completed,2.5,1.5,2.55,1.5,0.0
1,Brisbane,Brisbane International,2009-01-06,ATP250,Outdoor,Hard,1st Round,3,Tsonga J.W.,Calleri A.,7.0,62.0,3950.0,1250.0,6.0,2.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.08,7.0,1.15,5.6,1.0
1,Brisbane,Brisbane International,2009-01-06,ATP250,Outdoor,Hard,2nd Round,3,Soderling R.,Benneteau J.,17.0,40.0,2650.0,1608.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.3,3.4,1.35,3.3,1.0
1,Brisbane,Brisbane International,2009-01-06,ATP250,Outdoor,Hard,2nd Round,3,Gasquet R.,Dent T.,23.0,865.0,2320.0,28.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.16,4.5,1.22,4.33,1.0
1,Brisbane,Brisbane International,2009-01-07,ATP250,Outdoor,Hard,2nd Round,3,Gulbis E.,Mathieu P.H.,53.0,31.0,1408.0,2000.0,3.0,6.0,4.0,6.0,,,,,,,0.0,2.0,Completed,1.5,2.5,1.55,2.3,0.0
1,Brisbane,Brisbane International,2009-01-07,ATP250,Outdoor,Hard,2nd Round,3,Serra F.,Melzer J.,60.0,32.0,1324.0,1878.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.62,1.44,2.51,1.54,1.0
